,Sample,Tissue,DevTime
1,HB_1_E10,HB,E10
2,HB_2_E10,HB,E10
3,HB_1_E11,HB,E11
4,HB_2_E11,HB,E11
5,HB_1_E12,HB,E12
6,HB_2_E12,HB,E12
7,HB_1_E13,HB,E13
8,HB_2_E13,HB,E13
9,HB_1_E14,HB,E14
10,HB_2_E14,HB,E14
11,HB_1_E15,HB,E15
12,HB_2_E15,HB,E15
13,HB_1_E16,HB,E16
14,HB_2_E16,HB,E16
15,HB_1_P0,HB,P0
16,HB_2_P0,HB,P0
17,MB_1_E10,MB,E10
18,MB_2_E10,MB,E10
19,MB_1_E11,MB,E11
20,MB_2_E11,MB,E11
21,MB_1_E12,MB,E12
22,MB_2_E12,MB,E12
23,MB_1_E13,MB,E13
24,MB_2_E13,MB,E13
25,MB_1_E14,MB,E14
26,MB_2_E14,MB,E14
27,MB_1_E15,MB,E15
28,MB_2_E15,MB,E15
29,MB_1_E16,MB,E16
30,MB_2_E16,MB,E16
31,MB_1_P0,MB,P0
32,MB_2_P0,MB,P0
33,FB_1_E10,FB,E10
34,FB_2_E10,FB,E10
35,FB_1_E11,FB,E11
36,FB_2_E11,FB,E11
37,FB_1_E12,FB,E12
38,FB_2_E12,FB,E12
39,FB_1_E13,FB,E13
40,FB_2_E13,FB,E13
41,FB_1_E14,FB,E14
42,FB_2_E14,FB,E14
43,FB_1_E15,FB,E15
44,FB_2_E15,FB,E15
45,FB_1_E16,FB,E16
46,FB_2_E16,FB,E16
47,FB_1_P0,FB,P0
48,FB_2_P0,FB,P0
49,CF_1_E10,CF,E10
50,CF_2_E10,CF,E10
51,CF_1_E11,CF,E11
52,CF_2_E11,CF,E11
53,CF_1_E12,CF,E12
54,CF_2_E12,CF,E12
55,CF_1_E13,CF,E13
56,CF_2_E13,CF,E13
57,CF_1_E14,CF,E14
58,CF_2_E14,CF,E14
59,CF_1_E15,CF,E15
60,CF_2_E15,CF,E15
61,HT_1_E10,HT,E10
62,HT_2_E10,HT,E10
63,HT_1_E11,HT,E11
64,HT_2_E11,HT,E11
65,HT_1_E12,HT,E12
66,HT_2_E12,HT,E12
67,HT_1_E13,HT,E13
68,HT_2_E13,HT,E13
69,HT_1_E14,HT,E14
70,HT_2_E14,HT,E14
71,HT_1_E15,HT,E15
72,HT_2_E15,HT,E15
73,HT_1_E16,HT,E16
74,HT_2_E16,HT,E16
75,HT_1_P0,HT,P0
76,HT_2_P0,HT,P0
77,LM_1_E10,LM,E10
78,LM_2_E10,LM,E10
79,LM_1_E11,LM,E11
80,LM_2_E11,LM,E11
81,LM_1_E12,LM,E12
82,LM_2_E12,LM,E12
83,LM_1_E13,LM,E13
84,LM_2_E13,LM,E13
85,LM_1_E14,LM,E14
86,LM_2_E14,LM,E14
87,LM_1_E15,LM,E15
88,LM_2_E15,LM,E15
89,LV_1_E11,LV,E11
90,LV_2_E11,LV,E11
91,LV_1_E12,LV,E12
92,LV_2_E12,LV,E12
93,LV_1_E13,LV,E13
94,LV_2_E13,LV,E13
95,LV_1_E14,LV,E14
96,LV_2_E14,LV,E14
97,LV_1_E15,LV,E15
98,LV_2_E15,LV,E15
99,LV_1_E16,LV,E16
100,LV_2_E16,LV,E16
101,LV_1_P0,LV,P0
102,LV_2_P0,LV,P0
103,NT_1_E11,NT,E11
104,NT_2_E11,NT,E11
105,NT_1_E12,NT,E12
106,NT_2_E12,NT,E12
107,NT_1_E13,NT,E13
108,NT_2_E13,NT,E13
109,NT_1_E14,NT,E14
110,NT_2_E14,NT,E14
111,NT_1_E15,NT,E15
112,NT_2_E15,NT,E15
113,IT_1_E14,IT,E14
114,IT_2_E14,IT,E14
115,IT_1_E15,IT,E15
116,IT_2_E15,IT,E15
117,IT_1_E16,IT,E16
118,IT_2_E16,IT,E16
119,IT_1_P0,IT,P0
120,IT_2_P0,IT,P0
121,KD_1_E14,KD,E14
122,KD_2_E14,KD,E14
123,KD_1_E15,KD,E15
124,KD_2_E15,KD,E15
125,KD_1_E16,KD,E16
126,KD_2_E16,KD,E16
127,KD_1_P0,KD,P0
128,KD_2_P0,KD,P0
129,LG_1_E14,LG,E14
130,LG_2_E14,LG,E14
131,LG_1_E15,LG,E15
132,LG_2_E15,LG,E15
133,LG_1_E16,LG,E16
134,LG_2_E16,LG,E16
135,LG_1_P0,LG,P0
136,LG_2_P0,LG,P0
137,ST_1_E14,ST,E14
138,ST_2_E14,ST,E14
139,ST_1_E15,ST,E15
140,ST_2_E15,ST,E15
141,ST_1_E16,ST,E16
142,ST_2_E16,ST,E16
143,ST_1_P0,ST,P0
144,ST_2_P0,ST,P0
